"KMoney","KMoney"
"Continue to KMoney","Continue to KMoney"
"Enabled","Enabled"
"Title (shown to customer at checkout)","Title (shown to customer at checkout)"
"Instructions (shown at checkout, under the method)","Instructions (shown at checkout, under the method)"
"KMoney account number","KMoney account number"
"KMoney API base URL","KMoney API base URL"
"KMoney API token","KMoney API token"
"Webhook signing secret","Webhook signing secret"
"Sort Order","Sort Order"
"KMoney: the connection request for account %1 is awaiting approval from the circuit administrator. Once approved, this module configures itself automatically — reopen this page to check.","KMoney: the connection request for account %1 is awaiting approval from the circuit administrator. Once approved, this module configures itself automatically — reopen this page to check."
"KMoney: account connected! The API token and webhook were configured automatically.","KMoney: account connected! The API token and webhook were configured automatically."
"KMoney: the connection could not be completed. %1","KMoney: the connection could not be completed. %1"
